"Genes","ENSMBLID","chr","start","stop"
"STYX","ENSG00000198252.7","chr14",53196898,53241716
"RNU6-419P","ENSG00000252839.1","chr14",73713526,73713588
"SERPINA9","ENSG00000170054.10","chr14",94929054,94946026
"TSSK4","ENSG00000139908.10","chr14",24674903,24677568
"IGHJ6","ENSG00000211900.2","chr14",106329408,106329468
"PNN","ENSG00000100941.4","chr14",39644387,39652422
"RPL13P6","ENSG00000213176.4","chr14",103507806,103508431
"IGHD5-12","ENSG00000211921.1","chr14",106368507,106368529
"TRAV9-2","ENSG00000211793.2","chr14",22409313,22409848
"CBLN3","ENSG00000139899.6","chr14",24895738,24900160
"AL163760.1","ENSG00000222066.1","chr14",98797969,98798087
"C14orf1","ENSG00000133935.6","chr14",76116134,76127532
"RP11-907D1.1","ENSG00000259026.1","chr14",97576753,97585584
"GEMIN2","ENSG00000092208.12","chr14",39583427,39606177
"AL358333.1","ENSG00000267802.1","chr14",52436014,52436247
"CTD-2555K7.3","ENSG00000258823.1","chr14",23192685,23195781
"PRIMA1","ENSG00000175785.8","chr14",94184644,94254827
"ZFHX2","ENSG00000136367.12","chr14",23990066,24025401
"CTD-2207P18.1","ENSG00000258425.1","chr14",75018884,75026751
"RP11-85K15.2","ENSG00000258704.1","chr14",35390064,35451738
"HMGN1P3","ENSG00000258967.1","chr14",69354502,69354801
"RP11-73M18.2","ENSG00000256500.5","chr14",104029299,104152261
"RP11-47I22.1","ENSG00000258926.1","chr14",62004226,62012005
"RP11-66N24.3","ENSG00000258727.1","chr14",24030306,24037282
"FLVCR2","ENSG00000119686.5","chr14",76044960,76129557
"LINC00618","ENSG00000225163.3","chr14",97409916,97411731
"IGHVII-62-1","ENSG00000253747.1","chr14",107106555,107106789
"RN7SL598P","ENSG00000243700.2","chr14",58646489,58646779
"MIR4505","ENSG00000264741.1","chr14",74225450,74225522
"RP11-7F17.3","ENSG00000258819.1","chr14",77535523,77542687
"NFATC4","ENSG00000100968.9","chr14",24834879,24848810
"RP11-998D10.1","ENSG00000255472.1","chr14",21500977,21502054
"COX16","ENSG00000133983.10","chr14",70791798,70826448
"RP11-588P7.1","ENSG00000258419.1","chr14",79666325,79667975
"TRDV1","ENSG00000211804.2","chr14",22564309,22564896
"OR4K17","ENSG00000176230.4","chr14",20585566,20586597
"RP11-204N11.1","ENSG00000258869.1","chr14",98215601,98230326
"ENTPD5","ENSG00000187097.8","chr14",74424713,74486102
"JPH4","ENSG00000092051.12","chr14",24037244,24048009
"RP11-521B24.5","ENSG00000257270.1","chr14",105934130,105936954
"TRAV17","ENSG00000211797.2","chr14",22465778,22466407
"RP11-895M11.3","ENSG00000258798.1","chr14",91884610,91887520
"CTD-2547L24.3","ENSG00000258875.1","chr14",91709103,91717426
"PRKCH","ENSG00000027075.9","chr14",61654277,62017694
"RPS28P1","ENSG00000270912.1","chr14",64275264,64275450
"RP11-384J4.1","ENSG00000257612.1","chr14",27342339,27383949
"RN7SL224P","ENSG00000263694.1","chr14",69312519,69312772
"TRAJ39","ENSG00000211850.1","chr14",22970585,22970647
"MPP5","ENSG00000072415.4","chr14",67707826,67802536
"IGHV3-37","ENSG00000253359.1","chr14",106852588,106853026
"CTD-2314B22.2","ENSG00000257749.2","chr14",19832617,19857070
"IGHV4-55","ENSG00000254395.1","chr14",107062111,107062561
"RP11-754I20.3","ENSG00000257171.2","chr14",19172103,19188741
"RP11-134E15.1","ENSG00000258619.2","chr14",32710730,32712299
"AKT1","ENSG00000142208.11","chr14",105235686,105262088
"AL137229.1","ENSG00000265677.1","chr14",102807306,102807406
"U3","ENSG00000252792.1","chr14",68212084,68212191
"GZMB","ENSG00000100453.8","chr14",25100160,25103473
"OR4K15","ENSG00000169488.5","chr14",20443603,20444818
"RP11-829H16.5","ENSG00000258968.2","chr14",31487652,31488002
"TMEM229B","ENSG00000198133.4","chr14",67913801,68000456
"CCNK","ENSG00000090061.13","chr14",99947506,100001381
"IGHVIII-38-1","ENSG00000253989.1","chr14",106873942,106873995
"MIR4506","ENSG00000265768.1","chr14",94414572,94414648
"RP11-796G6.1","ENSG00000241494.1","chr14",102144280,102144717
"OR4H12P","ENSG00000176312.3","chr14",20228027,20228947
"AB019440.1","ENSG00000221180.1","chr14",106663421,106663529
"RP11-270M14.5","ENSG00000258876.1","chr14",76437267,76437930
"IGHD1-26","ENSG00000211907.1","chr14",106346892,106346911
"RP11-398E10.1","ENSG00000258998.1","chr14",45232360,45252032
"IFI27","ENSG00000165949.8","chr14",94571182,94583033
"DHRS2","ENSG00000100867.10","chr14",24099324,24114848
"RP11-111A21.1","ENSG00000258526.1","chr14",39944044,39982984
"MIR654","ENSG00000207934.1","chr14",101506556,101506636
"RNU6-541P","ENSG00000207440.1","chr14",31612145,31612254
"ADCK1","ENSG00000063761.11","chr14",78266426,78401355
"RP11-661D19.1","ENSG00000230988.3","chr14",103128577,103129045
"RP11-187O7.4","ENSG00000271423.1","chr14",77100057,77100371
"RNU6-1258P","ENSG00000252720.1","chr14",93903746,93903856
"RNU6-1291P","ENSG00000252400.1","chr14",51989582,51989685
"Y_RNA","ENSG00000199980.1","chr14",35402650,35402749
"RP6-91H8.1","ENSG00000258517.1","chr14",71679350,71684933
"RP11-73M18.8","ENSG00000269958.1","chr14",104162690,104163500
"EXOC3L4","ENSG00000205436.3","chr14",103566481,103576896
"RP11-226P1.2","ENSG00000258718.1","chr14",82194124,82209482
"TRAJ16","ENSG00000211873.1","chr14",22997487,22997546
"SNORD114-2","ENSG00000200823.1","chr14",101418193,101418270
"SNORD114-28","ENSG00000200480.1","chr14",101455467,101455538
"IGHV3-6","ENSG00000253763.1","chr14",106511782,106512231
"TXNDC16","ENSG00000087301.4","chr14",52897308,53019240
"IGHV3-64","ENSG00000223648.2","chr14",107113741,107114274
"BNIP3P1","ENSG00000197358.8","chr14",28733596,28735180
"GALC","ENSG00000054983.12","chr14",88304164,88460009
"LINC00643","ENSG00000186369.5","chr14",62584197,62596352
"RP11-597A11.6","ENSG00000259069.1","chr14",20145803,20147175
"GPR132","ENSG00000183484.7","chr14",105515728,105531782
"C14orf132","ENSG00000227051.4","chr14",96505661,96560417
"RP11-73M18.7","ENSG00000269940.1","chr14",104160897,104161507
"LINC00524","ENSG00000259023.2","chr14",101872324,101874259
"RPS26P49","ENSG00000239365.2","chr14",105297175,105297508
"RP11-701B16.2","ENSG00000258782.3","chr14",59945992,59992155
"RP11-255G12.2","ENSG00000258942.1","chr14",51811632,51852321
"TCL1B","ENSG00000213231.8","chr14",96152754,96158980
"RNU6-852P","ENSG00000252463.1","chr14",63944492,63944557
"OR4K6P","ENSG00000228304.1","chr14",20315526,20316422
"AL132989.1","ENSG00000268466.1","chr14",58754751,58755865
"RP11-757H14.2","ENSG00000258452.1","chr14",81288868,81289140
"SNHG10","ENSG00000247092.2","chr14",95998634,96001209
"NUBPL","ENSG00000151413.12","chr14",31959162,32330430
"CTD-2014B16.2","ENSG00000258960.1","chr14",66367650,66368169
"SPATA7","ENSG00000042317.12","chr14",88851268,88936694
"TINF2","ENSG00000092330.11","chr14",24708849,24711880
"RP11-638I2.2","ENSG00000258904.1","chr14",100730118,100731742
"RP5-1021I20.5","ENSG00000258891.1","chr14",74362867,74404817
"MIR5586","ENSG00000263629.1","chr14",60113680,60113738
"RP11-269C4.2","ENSG00000257904.1","chr14",30409951,30449418
"INSM2","ENSG00000168348.3","chr14",36003248,36006260
"RP11-1046B16.1","ENSG00000244237.1","chr14",70027736,70028187
"RP11-356K23.1","ENSG00000258752.1","chr14",89816629,89831043
"MIR665","ENSG00000272291.1","chr14",101341370,101341441
"GSTZ1","ENSG00000100577.14","chr14",77787227,77797940
"RP11-516J2.1","ENSG00000258402.1","chr14",76747286,76776409
"IGHJ4","ENSG00000240041.1","chr14",106330425,106330470
"RP11-112J1.1","ENSG00000213598.3","chr14",59261372,59261747
"RP11-363J20.2","ENSG00000258520.1","chr14",69705883,69727284
"SERPINA3","ENSG00000196136.12","chr14",95078714,95090392
"CTD-3028N15.1","ENSG00000249163.3","chr14",45552248,45553180
"AL132709.5","ENSG00000225746.4","chr14",101403738,101426536
"RP11-368P15.3","ENSG00000258985.1","chr14",53503473,53504969
"RNU7-30P","ENSG00000252644.1","chr14",91557421,91557482
"RP11-1042B17.3","ENSG00000258670.1","chr14",60981837,61021634
"REM2","ENSG00000139890.5","chr14",23352374,23356895
"TRAV4","ENSG00000211778.2","chr14",22204434,22205264
"TRAV8-3","ENSG00000211787.1","chr14",22320735,22321183
"AL136001.1","ENSG00000264439.1","chr14",104447135,104447220
"TRAV25","ENSG00000211806.2","chr14",22580300,22580984
"LINC00645","ENSG00000258548.1","chr14",28081794,28108842
"TRDD1","ENSG00000223997.1","chr14",22907539,22907546
"DEGS2","ENSG00000168350.6","chr14",100612756,100626500
"RAB2B","ENSG00000129472.8","chr14",21927179,21945132
"IGHV3-33-2","ENSG00000253440.1","chr14",106825038,106825477
"AMN","ENSG00000166126.6","chr14",103388993,103399933
"FANCM","ENSG00000187790.6","chr14",45605143,45670093
"CTD-2503I6.1","ENSG00000257120.1","chr14",30122015,30127122
"TRAV8-6","ENSG00000211795.3","chr14",22446699,22447360
"C14orf169","ENSG00000255242.1","chr14",73957669,73960096
"TRAJ56","ENSG00000211835.1","chr14",22948510,22948571
"PTGER2","ENSG00000125384.6","chr14",52781023,52795324
"PSEN1","ENSG00000080815.14","chr14",73603126,73690399
"PTGDR","ENSG00000168229.3","chr14",52734431,52743442
"IGHV3-66","ENSG00000211972.2","chr14",107131033,107131560
"RP11-452D21.2","ENSG00000258600.1","chr14",83483450,83484488
"CAP2P1","ENSG00000259151.2","chr14",89756549,89757938
"RPS20P33","ENSG00000242085.1","chr14",105840955,105841308
"ATP6V1D","ENSG00000100554.7","chr14",67761088,67826982
"RN7SL506P","ENSG00000266343.1","chr14",91614372,91614663
"OR11H5P","ENSG00000258625.1","chr14",20677399,20678369
"RP11-248J18.3","ENSG00000270062.1","chr14",51190495,51190990
"RN7SL523P","ENSG00000243976.1","chr14",100785408,100785707
"MIR539","ENSG00000202560.2","chr14",101513658,101513735
"HIF1AP1","ENSG00000258978.1","chr14",75583129,75583303
"RP11-368P15.2","ENSG00000258993.1","chr14",53489773,53490315
"NAA30","ENSG00000139977.9","chr14",57857262,57882635
"OR10G3","ENSG00000169208.1","chr14",22037934,22038875
"TRAJ15","ENSG00000211874.1","chr14",22998580,22998641
"RP11-61O1.1","ENSG00000259097.1","chr14",98534577,98671480
"TRDJ2","ENSG00000211827.1","chr14",22925681,22925734
"VASH1","ENSG00000071246.6","chr14",77228532,77249354
"AK7","ENSG00000140057.4","chr14",96858448,96955764
"RP11-114N19.5","ENSG00000271656.1","chr14",81469669,81469989
"PAPLN","ENSG00000100767.11","chr14",73704205,73741348
"IGHV3-71","ENSG00000254056.1","chr14",107183396,107183857
"LINC00871","ENSG00000258700.1","chr14",46410146,46971026
"RP11-407N17.3","ENSG00000258941.2","chr14",39703106,39820397
"IGHVII-67-1","ENSG00000253820.1","chr14",107142534,107142579
"TRAV16","ENSG00000211796.1","chr14",22458735,22459177
"NEDD8-MDP1","ENSG00000255526.2","chr14",24683161,24701558
"RP11-84C10.1","ENSG00000258599.2","chr14",21451314,21453225
"IGHD6-19","ENSG00000211914.1","chr14",106357557,106357577
"RNU6-244P","ENSG00000212330.1","chr14",102968013,102968116
"RP11-1029J19.4","ENSG00000258919.1","chr14",102095321,102098867
"HAUS4","ENSG00000092036.12","chr14",23415437,23426370
"RP11-85G20.2","ENSG00000241499.1","chr14",93710356,93710669
"IGHJ2","ENSG00000211904.2","chr14",106331409,106331460
"AL159140.1","ENSG00000252869.1","chr14",59866741,59866869
"RP11-831F12.4","ENSG00000258462.2","chr14",50148020,50148604
"IFI27L2","ENSG00000119632.3","chr14",94594116,94596590
"RP11-109N23.5","ENSG00000258448.1","chr14",73534816,73535326
"EGLN3-AS1","ENSG00000258897.1","chr14",34509303,34528506
"IGHD3-9","ENSG00000211924.1","chr14",106370539,106370569
"BAZ1A","ENSG00000198604.6","chr14",35221937,35344853
"RP11-973N13.5","ENSG00000259160.1","chr14",65002420,65002597
"IGHVII-26-2","ENSG00000253482.1","chr14",106770914,106771238
"PRMT5-AS1","ENSG00000237054.5","chr14",23388665,23396105
"RP11-476J6.1","ENSG00000259117.1","chr14",48271129,48271404
"RP11-597A11.4","ENSG00000257884.2","chr14",20145996,20148263
"RP11-168L7.1","ENSG00000258460.1","chr14",101798853,101800668
"RP11-361H10.3","ENSG00000258454.1","chr14",76702160,76729817
"RP11-293M10.4","ENSG00000119660.3","chr14",75758809,75761016
"RPS6KL1","ENSG00000198208.7","chr14",75370657,75390099
"IGHV1-69","ENSG00000211973.2","chr14",107169931,107170428
"RN7SKP193","ENSG00000201358.1","chr14",50535286,50535591
"MIR154","ENSG00000207978.1","chr14",101526092,101526175
"RP11-614O9.1","ENSG00000259037.1","chr14",105055358,105056184
"IGHV3-57","ENSG00000253759.1","chr14",107074907,107075186
"IGHD1-7","ENSG00000237197.1","chr14",106375766,106375782
"MED15P1","ENSG00000257853.1","chr14",19498565,19502394
"RPS15AP3","ENSG00000214903.4","chr14",47913309,47913697
"PLEK2","ENSG00000100558.4","chr14",67853700,67878917
"PRKD1","ENSG00000184304.10","chr14",30045687,30661104
"RP11-945F5.1","ENSG00000258845.1","chr14",46037198,46038272
"RP11-463C8.4","ENSG00000259164.1","chr14",77564654,77691805
"RNASE13","ENSG00000206150.3","chr14",21500979,21502944
"SNORD58","ENSG00000212615.1","chr14",45557446,45557511
"TRAJ51","ENSG00000248366.1","chr14",22956171,22956233
"RP11-388E23.2","ENSG00000258464.1","chr14",24198247,24198950
"CMA1","ENSG00000092009.6","chr14",24974559,24977471
"CTD-2298J14.1","ENSG00000258901.2","chr14",42024865,42025258
"AL163953.3","ENSG00000237356.1","chr14",53635772,54153976
"IGHV3-7","ENSG00000211938.2","chr14",106518400,106518932
"CTD-2302E22.2","ENSG00000258800.1","chr14",64065592,64065966
"GPX2","ENSG00000176153.10","chr14",65405870,65409531
"IGBP1P1","ENSG00000226677.2","chr14",35408530,35409693
"UBA52P3","ENSG00000243023.2","chr14",58607997,58608378
"CHD8","ENSG00000100888.8","chr14",21853353,21924285
"RP11-371E8.4","ENSG00000259066.1","chr14",93651318,93684932
"MIA2","ENSG00000150526.7","chr14",39699435,39722859
"SPTSSA","ENSG00000165389.6","chr14",34901995,34931562
"RP11-298I3.5","ENSG00000259132.1","chr14",23415479,23451467
"NPC2","ENSG00000119655.4","chr14",74942895,74960880
"RP11-804M7.1","ENSG00000258778.2","chr14",64201415,64202641
"TTC8","ENSG00000165533.14","chr14",89290497,89344335
"RPL21P8","ENSG00000180662.8","chr14",65934525,65935059
"RP11-7F17.4","ENSG00000258473.1","chr14",77514515,77552789
"CTD-2200A16.1","ENSG00000258383.1","chr14",99791136,99798352
"HOMER2P1","ENSG00000228966.2","chr14",106916017,106916980
"LINC00596","ENSG00000259334.1","chr14",24391456,24403777
"RP11-388E23.3","ENSG00000258887.2","chr14",24294845,24296605
"RP11-857B24.2","ENSG00000259046.1","chr14",45357759,45358244
"AL117190.2","ENSG00000267918.1","chr14",101295066,101295537
"RN7SKP255","ENSG00000200312.1","chr14",90178855,90179167
"TRAJ1","ENSG00000211888.2","chr14",23013981,23014042
"SYNJ2BP","ENSG00000213463.3","chr14",70838148,70883778
"RP11-406A9.2","ENSG00000258743.1","chr14",83108964,83173169
"RP11-557C9.3","ENSG00000258387.1","chr14",44061345,44061465
"U3","ENSG00000200042.1","chr14",92181260,92181474
"ELK2AP","ENSG00000213140.3","chr14",106138645,106139651
"RP11-242P2.1","ENSG00000258637.1","chr14",80128009,80257606
"RP11-750I4.2","ENSG00000258544.1","chr14",90574019,90574339
"LRRC9","ENSG00000131951.6","chr14",60386431,60530277
"RP11-626P14.1","ENSG00000257845.1","chr14",27244701,27291313
"MIR496","ENSG00000207961.1","chr14",101526910,101527011
"RP11-104E19.1","ENSG00000258657.1","chr14",25064929,25126980
"RP11-966I7.3","ENSG00000257748.1","chr14",29269290,29299410
"RP1-261D10.2","ENSG00000259146.2","chr14",71759442,71788531
"RNU6-7","ENSG00000201654.1","chr14",32671251,32671357
"RP11-688G15.3","ENSG00000258749.1","chr14",99978838,99979913
"PSME2","ENSG00000100911.9","chr14",24612574,24616779
"RPPH1-2P","ENSG00000252497.1","chr14",65376206,65376498
"RP11-1085N6.4","ENSG00000258703.1","chr14",57226097,57232475
"TRAJ25","ENSG00000211864.2","chr14",22987790,22987849
"AHNAK2","ENSG00000185567.6","chr14",105403581,105444694
"Y_RNA","ENSG00000200742.1","chr14",56118252,56118352
"VSX2","ENSG00000119614.2","chr14",74706175,74729441
"RP11-661G16.2","ENSG00000258716.1","chr14",91163677,91165718
"CTD-2311B13.5","ENSG00000258252.1","chr14",19562689,19566731
"SNW1","ENSG00000100603.9","chr14",78183942,78227550
"RP11-388E23.4","ENSG00000270618.1","chr14",24236871,24238207
"LINC00911","ENSG00000259107.1","chr14",85860223,85886418
"PNMA1","ENSG00000176903.3","chr14",74178494,74181128
"SNORD114-16","ENSG00000199914.1","chr14",101439932,101440001
"NGB","ENSG00000165553.4","chr14",77731826,77737655
"CTD-2213F21.1","ENSG00000239323.1","chr14",31932001,31932577
"SNORD112","ENSG00000252144.1","chr14",101405405,101405475
"RP11-406H23.2","ENSG00000259113.1","chr14",50915525,50923460
"CTD-2561F5.1","ENSG00000258497.1","chr14",101723669,101744655
"IGHV1-46","ENSG00000211962.2","chr14",106967049,106967788
"TRAV6","ENSG00000211780.3","chr14",22236729,22237320
"CTD-2555O16.2","ENSG00000258824.2","chr14",64889653,64915275
"RN7SL660P","ENSG00000265770.1","chr14",32911547,32911843
"HEATR5A","ENSG00000129493.10","chr14",31760994,31889788
"RP11-903H12.4","ENSG00000258963.1","chr14",21202737,21203170
"FAM71D","ENSG00000172717.11","chr14",67656110,67695267
"RP11-247L20.4","ENSG00000259071.1","chr14",50793244,50794627
"RP11-597A11.3","ENSG00000257846.2","chr14",20136988,20138162
"TRAV5","ENSG00000211779.3","chr14",22217462,22217989
"CTD-2223O18.1","ENSG00000258748.1","chr14",104603487,104604235
"KCNK10","ENSG00000100433.11","chr14",88649113,88793251
"UNGP3","ENSG00000270343.1","chr14",81725909,81726583
"TRAJ2","ENSG00000211887.2","chr14",23013015,23013080
"MIR5694","ENSG00000265993.1","chr14",67908572,67908647
"CTD-2315A10.2","ENSG00000258685.2","chr14",59602206,59603139
"AE000662.93","ENSG00000259054.1","chr14",23025205,23025956
"CHURC1","ENSG00000258289.3","chr14",65381079,65411309
"RP3-449M8.6","ENSG00000259005.1","chr14",74940710,74941567
"AE000659.41","ENSG00000258557.1","chr14",22431047,22431270
"RPL17P3","ENSG00000271705.1","chr14",81467510,81468130
"OR11H7","ENSG00000258806.1","chr14",20697561,20698500
"RP11-452D21.1","ENSG00000258426.1","chr14",83484545,83505946
"RP11-1078H9.6","ENSG00000259789.1","chr14",90955356,90957981
"SSTR1","ENSG00000139874.5","chr14",38677204,38682272
"RP11-58E21.1","ENSG00000243038.1","chr14",50519575,50520287
"RP11-395B20.1","ENSG00000258877.2","chr14",63070831,63072435
"RP11-688D15.2","ENSG00000271712.1","chr14",85464622,85465640
"ISCA2","ENSG00000165898.9","chr14",74960423,74963809
"RP11-545M17.1","ENSG00000258651.1","chr14",39572344,39573016
"CTD-2509G16.3","ENSG00000258878.1","chr14",65701233,65701819
"CTD-2002H8.2","ENSG00000258682.1","chr14",58731380,58736399
"CTD-2017C7.1","ENSG00000256705.3","chr14",102299772,102305868
"RP11-355I22.8","ENSG00000270852.1","chr14",62617374,62618976
"MIR299","ENSG00000207749.2","chr14",101490114,101490215
"RNU6-1316P","ENSG00000206969.1","chr14",103332193,103332300
"HSP90AA1","ENSG00000080824.14","chr14",102547075,102606036
"RNU6-1239P","ENSG00000212612.1","chr14",19564785,19564891
"RP11-638I2.10","ENSG00000258581.2","chr14",100832965,100833257
"MIR431","ENSG00000208001.1","chr14",101347344,101347457
"SLC35F4","ENSG00000151812.10","chr14",58030640,58448912
"CTD-2591A6.2","ENSG00000257869.1","chr14",28787347,28887818
"RP11-134E15.2","ENSG00000259086.2","chr14",32741061,32741510
"RP11-81F13.2","ENSG00000258601.1","chr14",37278076,37297934
"RALGAPA1","ENSG00000174373.11","chr14",36007558,36278510
"CCDC176","ENSG00000119636.11","chr14",74486056,74549566
"RP11-829H16.1","ENSG00000240513.1","chr14",31288920,31289120
"OR6E1P","ENSG00000235213.1","chr14",23171352,23172274
"OR4K16P","ENSG00000258822.1","chr14",20424759,20425727
"SIX6","ENSG00000184302.6","chr14",60975669,60979568
"RP11-280K24.4","ENSG00000258535.1","chr14",52231994,52292140
"RN7SL588P","ENSG00000264700.1","chr14",53252295,53252581
"CTD-2555K7.1","ENSG00000242061.1","chr14",23163307,23163744
"IGHD","ENSG00000211898.3","chr14",106303099,106312010
"OR4K2","ENSG00000165762.2","chr14",20344391,20345468
"TRAJ26","ENSG00000211863.1","chr14",22987424,22987483
"SNORD112","ENSG00000252873.1","chr14",101383915,101383982
"RP6-91H8.2","ENSG00000259907.1","chr14",71648173,71648823
"CTD-2325P2.2","ENSG00000242941.1","chr14",69159807,69160300
"RP11-991C1.1","ENSG00000258933.1","chr14",95426614,95429313
"NKX2-8","ENSG00000136327.6","chr14",37049784,37051812
"RP11-433J8.1","ENSG00000258702.1","chr14",97059070,97062099
"RP11-486O13.4","ENSG00000257759.2","chr14",70892529,71014181
"MIR127","ENSG00000207608.1","chr14",101349316,101349412
"RP11-363J20.1","ENSG00000258957.1","chr14",69649737,69680809
"RP11-930O11.1","ENSG00000259719.1","chr14",56777598,56811719
"AL512791.1","ENSG00000238758.1","chr14",90847542,90847596
"RP3-414A15.11","ENSG00000258443.1","chr14",73983937,73987352
"snoU13","ENSG00000238501.1","chr14",45036116,45036209
"SERPINA4","ENSG00000100665.7","chr14",95027428,95036250
"DKFZP434O1614","ENSG00000258729.1","chr14",96741383,96743060
"NOVA1","ENSG00000139910.15","chr14",26912299,27066960
"IGHG2","ENSG00000211893.3","chr14",106109389,106111127
"RP11-486O13.3","ENSG00000270610.1","chr14",70701212,70701812
"YBX1P1","ENSG00000224861.1","chr14",66479548,66480507
"TRAJ32","ENSG00000211857.1","chr14",22978325,22978390
"IGHVII-20-1","ENSG00000253996.1","chr14",106669468,106669951
"UNC79","ENSG00000133958.9","chr14",93799565,94174222
"RP11-896J10.3","ENSG00000257520.1","chr14",36942412,36988726
"IGHV1-68","ENSG00000253703.1","chr14",107159869,107160163
"TRAJ48","ENSG00000211841.1","chr14",22959479,22959541
"FAM181A","ENSG00000140067.6","chr14",94385240,94395954
"RNA5SP387","ENSG00000201096.1","chr14",76070516,76070621
"CTD-2134A5.4","ENSG00000258534.1","chr14",104320703,104346448
"MIR1197","ENSG00000221745.1","chr14",101491901,101491988
"PCNX","ENSG00000100731.11","chr14",71374122,71582099
"KIAA0586","ENSG00000100578.10","chr14",58894103,59015216
"ZNF219","ENSG00000165804.11","chr14",21558205,21572881
"CTD-2314B22.1","ENSG00000258314.2","chr14",19611768,19643377
"RP11-99L13.2","ENSG00000259126.1","chr14",44861734,44862919
"TRAF3","ENSG00000131323.10","chr14",103243813,103377837
"RP11-407N17.6","ENSG00000270503.1","chr14",39684269,39685539
"BEGAIN","ENSG00000183092.11","chr14",101003486,101053750
"SNORD126","ENSG00000238344.1","chr14",20794609,20794685
"AL163952.2","ENSG00000221254.2","chr14",56542198,56542284
"RP4-693M11.3","ENSG00000258660.1","chr14",74164806,74167054
"RP11-47I22.3","ENSG00000232774.3","chr14",62037258,62125414
"DDHD1","ENSG00000100523.10","chr14",53510686,53620000
"U3","ENSG00000206761.1","chr14",101611818,101612032
"SNORD113","ENSG00000200150.1","chr14",101422577,101422649
"RP11-661D19.3","ENSG00000259508.1","chr14",103236377,103241128
"Y_RNA","ENSG00000199472.1","chr14",74373019,74373130
"ASB2","ENSG00000100628.7","chr14",94400499,94443137
"IGHD7-27","ENSG00000236597.1","chr14",106331761,106331771
"RN7SL546P","ENSG00000239224.2","chr14",103049227,103049514
"EFS","ENSG00000100842.8","chr14",23825611,23834961
"PSME1","ENSG00000092010.10","chr14",24605367,24608176
"IGHV3-41","ENSG00000253705.1","chr14",106899044,106899493
"MIR1193","ENSG00000221036.3","chr14",101496389,101496466
"SNORD113","ENSG00000222095.1","chr14",101460594,101460667
"RPL7AP6","ENSG00000242071.2","chr14",70352057,70352869
"RP11-671J11.7","ENSG00000259002.1","chr14",35011023,35011650
"TRDJ4","ENSG00000211826.1","chr14",22924241,22924288
"RN7SL710P","ENSG00000240730.2","chr14",97996228,97996510
"RP11-1079H9.1","ENSG00000258912.1","chr14",86481030,86529304
"RP11-124D2.1","ENSG00000240131.1","chr14",23699170,23699325
"RNU1-28P","ENSG00000206588.1","chr14",35025432,35025595
"AREL1","ENSG00000119682.12","chr14",75120140,75179818
"RP11-754I20.2","ENSG00000257356.2","chr14",19195252,19195750
"C14orf37","ENSG00000139971.11","chr14",58466453,58764857
"IGHJ1P","ENSG00000227335.1","chr14",106331834,106331888
"FAM177A1","ENSG00000151327.8","chr14",35514113,35582336
"TRAV26-2","ENSG00000211812.1","chr14",22670477,22671262
"RP11-483C6.1","ENSG00000262119.1","chr14",27061953,27063723
"C14orf23","ENSG00000186960.6","chr14",29241910,29282493
"snoU13","ENSG00000238972.1","chr14",73376145,73376231
"NUTF2P2","ENSG00000258300.2","chr14",36289043,36289426
"Y_RNA","ENSG00000200860.1","chr14",66644245,66644353
"SNORD113-4","ENSG00000201672.1","chr14",101402828,101402902
"RNU2-33P","ENSG00000222276.1","chr14",96850961,96851152
"IGHV3-30-2","ENSG00000253587.1","chr14",106800319,106800757
"IGHD5-18","ENSG00000211915.1","chr14",106359400,106359419
"RP11-1070N10.7","ENSG00000270038.1","chr14",96110845,96111569
"SIVA1","ENSG00000184990.8","chr14",105219437,105234831
"RBM8B","ENSG00000258427.3","chr14",60864475,60864999
"RP11-964E11.2","ENSG00000258661.1","chr14",37116288,37128006
"OR11H2","ENSG00000258453.1","chr14",20181104,20182079
"RPL21P5","ENSG00000258640.3","chr14",31580775,31581445
"RPPH1","ENSG00000259001.2","chr14",20811207,20811844
"OR7E105P","ENSG00000258423.1","chr14",52223714,52224706
"RP11-626P14.2","ENSG00000257185.1","chr14",27278623,27305664
"IRF9","ENSG00000213928.4","chr14",24630262,24635774
"CTD-3051D23.3","ENSG00000259067.1","chr14",105370679,105371541
"TRAJ18","ENSG00000211871.1","chr14",22994620,22994685
"MAP3K9","ENSG00000006432.11","chr14",71189243,71276251
"Y_RNA","ENSG00000202306.1","chr14",93863485,93863580
"TRAV18","ENSG00000211798.3","chr14",22471345,22471912
"SRMP2","ENSG00000258485.2","chr14",61385958,61386873
"IGHD2-21","ENSG00000211912.1","chr14",106354409,106354436
"RP11-164H13.1","ENSG00000257275.2","chr14",96178084,96223993
"RNU6ATAC9P","ENSG00000252019.1","chr14",55325933,55326048
"TRAV28","ENSG00000258835.1","chr14",22623012,22623571
"RP11-85G20.1","ENSG00000240096.1","chr14",93689944,93690485
"AE000658.27","ENSG00000256385.1","chr14",22080078,22080535
"RP11-725G5.2","ENSG00000258630.1","chr14",95795921,95801841
"RP11-349I1.2","ENSG00000256357.1","chr14",94896970,94931067
"CTD-2325P2.4","ENSG00000259038.1","chr14",69093883,69095162
"RNU7-116P","ENSG00000252749.1","chr14",64203162,64203223
"RP11-356O9.2","ENSG00000259087.1","chr14",38025363,38036300
"SNORD114-15","ENSG00000201557.1","chr14",101439007,101439078
"AP5M1","ENSG00000053770.7","chr14",57735627,57756797
"RPL13AP2","ENSG00000244053.1","chr14",47669778,47670307
